104.17.164.192 7.2135ms
104.17.165.125 7.255ms
104.18.157.189 7.268000000000001ms
104.16.242.72 7.285ms
104.19.152.1 7.2875ms
104.19.219.222 7.345ms
104.19.146.67 7.3485ms
104.18.94.238 7.5395ms
104.19.147.104 7.5725ms
104.17.102.95 7.58ms
104.16.189.109 7.587ms
104.16.253.83 7.6594999999999995ms
104.18.89.228 7.739ms
104.18.93.249 7.7775ms
104.16.251.157 7.804ms
104.18.84.81 7.8055ms
104.19.148.225 7.846ms
104.17.160.111 7.8475ms
162.159.153.184 7.864ms
104.18.93.252 7.8945ms
162.159.152.31 7.8999999999999995ms
104.17.183.73 7.935499999999999ms
104.17.166.34 8.054ms
104.18.225.130 8.088000000000001ms
104.18.86.198 8.093ms
162.159.152.225 8.116ms
104.16.241.185 8.153ms
104.16.246.147 8.206ms
104.16.248.191 8.2085ms
104.17.107.131 8.210999999999999ms
104.18.94.108 8.218ms
104.17.176.71 8.222999999999999ms
104.18.147.201 8.227ms
104.24.238.104 8.229ms
104.17.161.176 8.247ms
104.18.176.251 8.251999999999999ms
104.19.158.5 8.286ms
104.18.206.192 8.2915ms
104.18.85.212 8.3045ms
104.17.173.157 8.307ms
104.17.210.247 8.317ms
104.17.186.67 8.345ms
104.17.180.93 8.364ms
104.17.218.23 8.409500000000001ms
104.19.145.13 8.461500000000001ms
104.17.171.176 8.5065ms
104.16.243.154 8.5465ms
162.159.153.239 8.557500000000001ms
104.19.158.2 8.5845ms
104.19.153.57 8.6055ms
104.18.83.150 8.6395ms
104.18.81.170 8.6415ms
104.18.82.31 8.674ms
104.17.160.190 8.6795ms
104.16.244.253 8.68ms
104.18.88.239 8.709ms
162.159.152.69 8.742ms
104.16.246.248 8.7455ms
104.19.110.157 8.778500000000001ms
104.17.160.175 8.783000000000001ms
104.19.219.206 8.7995ms
104.17.101.175 8.801ms
104.19.151.144 8.807ms
198.41.195.170 8.8255ms
104.17.106.219 8.8445ms
104.16.252.131 8.862ms
104.16.30.186 8.874500000000001ms
104.19.147.114 8.8785ms
104.16.254.211 8.888ms
104.17.183.146 8.897ms
104.17.216.191 8.940000000000001ms
104.19.148.224 8.9735ms
104.19.158.226 9.087ms
104.17.216.233 9.091000000000001ms
104.17.216.185 9.1ms
104.18.15.231 9.126000000000001ms
104.17.173.212 9.128ms
104.17.209.3 9.1695ms
104.17.182.210 9.203ms
104.18.206.252 9.227ms
104.17.162.223 9.239ms
104.17.175.167 9.2475ms
104.19.159.102 9.256ms
104.16.249.207 9.2725ms
104.17.180.237 9.3005ms
104.17.223.37 9.317499999999999ms
104.17.177.70 9.3265ms
104.16.196.189 9.343ms
